"كد دوره در نفت";"ترتيب";"كد دوره";"كد تخصصي";"ساعت";"عنوان دوره";"عنوان گروه تخصصي";"نوع دوره";"كد پيش نياز";"حداكثر ظرفيت";"اهداف دوره";"شرايط شركت كنندگان";"نحوه اجرا";"تجهيزات مورد نياز";"فضاي آموزشي";"روش تدريس";"منابع آموزشي";"شرايط مدرس";"مقطع تحصيلي و رشته";"تجربه تدريس";"تجربه حرفه اي";"سطح ارزيابي";"روش ارزيابي";"شاخص ارزيابي";"توضيحات";"شاخص ارزيابي1111";"شاخص ارزيابي11111"
673;27839;;"278";24;"تشريح الزامات استانداردهاي جوشكاري";"مهندسي مواد و بازرسي فني - جوشكاري";"شغلي";;15;"آشنايي فراگيران با استانداردهاي مطرح و رايج در جوشكاري";"كارشناسان ادارات مهندسي / جوشكاران / بازرسي فني / تعميرات / اجراي پروژه";"حضوري";;"كلاس";"تئوري";"كتاب - جزوه";;"كارشناسي متالوژي- جوش/بازرسي فني/ مكانيك/مهندسي جوش";"3";"5";"يادگيري";"آزمون";"70%";;;
674;65029;;"650";24;"شناسايي پليمرها و تعيين خواص فيزيكي آن به روش هاي دستگاهي و شيميايي";"آزمايشگاه شيمي";"شغلي";;15;"شناخت روش هاي تعيين مشخصات پليمرها و شناسايي ساختار ماكرومولكول ها";"كارشناسان  آزمايشگاه /حوزه هاي پژوهشي";"حضوري";;"كلاس";"تئوري";"جزوه";"تجربه كار آزمايشگاهي الزامي است";"دكتري شيمي/پليمر";"3";"5";"يادگيري";"آزمون";"60%";;;
675;61035;;"610";16;"مواد ضد كف، ارزيابي و بررسي ساختار و عملكرد آنها  در صنايع نفت و گاز";"طراحي و مهندسي فرآيند - فرآيند";"شغلي";;15;"آشنايي با انواع مواد ضد كف، نحوه بازداري از تشكيل كف  و بررسي و ارزيابي آن";"كارشناسان مهندسي فرايند/آزمايشگاه";"حضوري";;"كلاس";"تئوري";"جزوه";;"كارشناس ارشد شيمي/مهندسي شيمي";"3";"10";"يادگيري";"آزمون";"60%";;;
676;26026;;"260";40;"نوآوري در صنايع هيدروكربوري";"آمار و پژوهش";"شغلي";;15;"آشنايي با مديريت توليد فناوري در صنايع شيميايي، از آزمايشگاه تا صنعت";"كارشناسان حوزه پژوهش / مهندسي فرايند";"حضوري";;"كلاس";"تئوري";"جزوه";"تجربه حرفه اي الزامي است";"كارشناسي ارشد مهندسي شيمي /مهندسي صنايع";"3";"5";"يادگيري";"آزمون";"70%";;;
677;63050;;"630";32;"هSimulink و كاربرد آن در مهندسي";"طراحي و مهندسي فرآيند - نرم افزارها";"شغلي";;8;"آشنايي شركت كنندگان با Simulink و كاربردهاي آن در مهندسي فرآيند، كنترل و ...";"كارشناسان مهندسي فرايند / مهندسي/ مهندسي پروژه";"حضوري";;"كلاس";"تئوري-عملي";"جزوه - نرم افزار";;"كارشناسي ارشد مهندسي شيمي";"3";"7";"يادگيري";"آزمون";"60%";;;
678;63049;;"630";16;"طراحي و شبيه سازي كوره ها توسط شبيه ساز Aspen - FIHR";"طراحي و مهندسي فرآيند - نرم افزارها";"شغلي";;8;"آشنائي با اصول و مقدمات طراحي كوره ها و روش شبيه سازي آنها در شبيه ساز Aspen FIHR";"كارشناسان مهندسي فرايند / مهندسي/ مهندسي پروژه";"حضوري";;"كلاس";"تئوري-عملي";"جزوه - نرم افزار";;"كارشناسي ارشد مهندسي شيمي";"3";"7";"يادگيري";"آزمون";"60%";;;
679;61020;;"610";32;" افزايش مقياس فرايندهاي شيميايي";"طراحي و مهندسي فرآيند - فرآيند";"شغلي";;15;"نحوه افزايش مقياس واحدهاي صنعتي از مرحله آزمايشگاهي به نيمه صنعتي و صنعتي";"كارشناسان واحدهاي پژوهشي/ مهندسي فرايند";"حضوري";;"كلاس";"تئوري";"جزوه";;"كارشناسي ارشد مهندسي شيمي";"3";"10";"يادگيري";"آزمون";"60%";;;
680;21634;;"216";8;"روش ها و الگوهاي پايش اثرات زيست محيطي صنايع نفت، گاز و پتروشيمي در اكوسيستم دريايي";"HSE - محيط زيست";"شغلي";;15;"آشنايي با تجهيزات و الگوهاي پايش زيست محيطي در دريا";"كارشناسان و روساي محيط زيست / بهداشت";"حضوري";;"كلاس";"تئوري";"جزوه";;"كارشناسي ارشد محيط زيست";"3";"5";"يادگيري";"آزمون";"60%";;;
681;21635;;"216";24;"تصفيه لجنهاي نفتي و بيولوژيكي";"HSE - محيط زيست";"شغلي";;15;"آشنايي با فرايند تصفيه لجنهاي نفتي و بيولوژيكي";"كارشناسان و روساي محيط زيست / بهداشت";"حضوري";;"كلاس";"تئوري";"جزوه";;"كارشناسي ارشد محيط زيست";"3";"5";"يادگيري";"آزمون";"60%";;;
682;83104;;"830";24;"ايمني ماشين آلات و تجهيزات حفاري";"حفاري";"شغلي";;20;"آشنايي شركت كنندگان با ايمني ماشين آلات و  كاهش حوادث مربوط به كار با ماشين آلات  و تجهيزات حفاري";"تكنسين ارشد و تكنسين هاي ناظر عمليات حفاري";"حضوري";"سيمولاتور";"كلاس - محيط كار";"تئوري-عملي";"كتاب - جزوه";"تجربه حرفه اي الزاميست";"كارشناسي ارشد حفاري / مكانيك /  HSE";"5";"5";"يادگيري";"آزمون";"70%";;;
