"كد دوره در نفت";"ترتيب";"كد دوره";"كد تخصصي";"ساعت";"عنوان دوره";"عنوان گروه تخصصي";"نوع دوره";"كد پيش نياز";"حداكثر ظرفيت";"اهداف دوره";"شرايط شركت كنندگان";"نحوه اجرا";"تجهيزات مورد نياز";"فضاي آموزشي";"روش تدريس";"منابع آموزشي";"شرايط مدرس";"مقطع تحصيلي و رشته";"تجربه تدريس";"تجربه حرفه اي";"سطح ارزيابي";"روش ارزيابي";"شاخص ارزيابي";"توضيحات";"شاخص ارزيابي1111";"شاخص ارزيابي11111"
0;21432;;"214";24;"سيستم مديريت ايمني فرآيند (PSM)";"HSE - ايمني و آتش نشاني";"شغلي";;25;"از صادقپور";;"حضوري";;;;;;;"3 سال";"5 سال";"يادگيري";"آزمون";"70%";;;
1;13401;;"134";16;"آشنايي با روشهاي تحليل گري مشاغل";"پشتيباني و ستاد - منابع انساني - برنامه ريزي";"شغلي";;20;"شناخت روشهاي تحليلگري مشاغل";"كليه كارشناسان واحدهاي برنامه ريزي نيروي انساني/ امور سازماني / بهبود روش ها";"حضوري";;"كلاس";"تئوري";"كتاب - نرم افزار";;"فوق ليسانس مديريت دولتي /مديريت منابع انساني / صنايع";"3 سال";"5 سال";"يادگيري";;;;;
2;20401;;"204";32;"زبان تخصصي مديريت منابع انساني - Human Resources Management";"زبان تخصصي - مشاغل غيرفني";"شغلي";"06012";15;"تسلط و توانايي مطالعه منابع زبان اصلي مديريت منابع انساني";"كاركنان، روسا و مديران واحدهاي پژوهشي و ساير واحدهاي مديريت منابع انساني";"حضوري";;"كلاس";"تئوري";"كتاب";"تسلط كامل يه زبان انگليسي و مديريت و داشتن مدرك TTI يا TTC يا TKTالزامي است";"فوق ليسانس مديريت";"5";"7";"يادگيري";"آزمون";"ارائه مطلب يك نمونه پيشنهادي توسط فراگيران و 70%";;;
3;20402;;"204";32;"زبان تخصصي مديريت - Management";"زبان تخصصي - مشاغل غيرفني";"شغلي";"06012";15;"تسلط و توانايي مطالعه منابع زبان اصلي رفتار سازماني";"كاركنان، روسا و مديران واحدهاي پژوهشي و ساير واحدهاي مديريت منابع انساني";"حضوري";;"كلاس";"تئوري";"كتاب";"تسلط كامل يه زبان انگليسي و مديريت و داشتن مدرك TTI يا TTC يا TKTالزامي است";"فوق ليسانس مديريت";"5";"7";"يادگيري";"آزمون";"ارائه مطلب يك نمونه پيشنهادي توسط فراگيران و 70%";;;
4;13313;;"133";8;"طراحي و ترسيم فرآيندها و دستورالعملهاي آموزشي";"پشتيباني و ستاد - منابع انساني - آموزش";"شغلي";;12;"آشنايي با فرآيندهاي آموزشي و تدوين دستورالعمل";"كارشناسان آموزش";"حضوري";;"كارگاه";"تئوري";"كتاب/ جزوه";;"فوق ليسانس مديريت آموزش/برنامه ريزي آموزش";"3سال";"5سال";"يادگيري";;;;;
5;13314;;"133";8;"بودجه بندي آموزش";"پشتيباني و ستاد - منابع انساني - آموزش";"شغلي";;20;"آشنايي با مكانيزم بودجه بندي آموزش";"كارشناسان آموزش";"حضوري";;"كلاس";"تئوري";"كتاب/ جزوه";;"فوق ليسانس مديريت مالي/حسابداري / مديريت آموزشي / مديريت صنعتي";"3سال";"5سال";"يادگيري";;;;;
6;13315;;"133";16;"آموزش مجازي (E-learning)";"پشتيباني و ستاد - منابع انساني - آموزش";"شغلي";;20;"آشنايي با الزامات آموزش مجازي";"كارشناسان آموزش";"حضوري";;"كلاس";"تئوري-عملي";"كتاب/ جزوه/نرم افزار";;"فوق ليسانس مهندسي صنايع/مديريت آموزش/مهندسي كامپيوتر";"3سال";"5سال";"يادگيري";;;;;
7;13316;;"133";16;"برنامه ريزي استراتژيك آموزش";"پشتيباني و ستاد - منابع انساني - آموزش";"شغلي";;20;"آشنايي با تدوين ،اجرا و ارزيابي  استراتژيهاي آموزش";"كارشناسان آموزش";"حضوري";;"كلاس";"تئوري";"كتاب";;"فوق ليسانس مديريت استراتژيك";"3سال";"7سال";"يادگيري";;;;;
8;13317;;"133";16;"بازگشت سرمايه در آموزش";"پشتيباني و ستاد - منابع انساني - آموزش";"شغلي";;20;"آشنايي با بازگشت سرمايه در آموزش";"كارشناسان آموزش";"حضوري";;"كلاس";"تئوري";"كتاب/ جزوه";;"فوق ليسانس مديريت مالي/مديريت آموزشي";"3سال";"7سال";"يادگيري";;;;;
9;11001;"11001";"110";24;"بررسي مواردخاص و مباحث جاري در حسابداري";"پشتيباني و ستاد - مالي";"شغلي";;20;"آشنايي با مباحث جاري و خاص در حسابداري";"كارشناسان امور مالي";"حضوري";;"كلاس";"تئوري";"كتاب";;"فوق ليسانس حسابداري";"3 سال";"5 سال";"واكنشي";;;;;
10;11002;"11002";"110";24;"حسابداري پيشرفته در صنعت نفت";"پشتيباني و ستاد - مالي";"شغلي";;20;"آشنايي با نحوه تهيه و تنظيم صورتهاي مالي تلفيقي";"كارشناسان حسابداري";"حضوري";;"كلاس";"تئوري";"كتاب";;"فوق ليسانس حسابداري";"3 سال";"5 سال";"واكنشي";;"60 از 100";;;
11;13701;;"137";8;"آشنايي با كارآفريني";"پشتيباني و ستاد - منابع انساني - كارآفريني";"عمومي";;20;"هدف از برگزاري اين دوره آشنايي مخاطبين با اصول و مفاهيم پايه اي دانش كارآفريني مي باشد.";"كليه كاركنان";"حضوري";;"كلاس";"تئوري";"كتاب - جزوه";;"فوق ليسانس رشته كارآفريني، مديريت و مهندسي صنايع و يا مدرك مربي گري كارآفريني";"3 سال";"4 سال";"واكنشي";"نظرسنجي";;;;
12;13702;;"137";16;"كارآفريني سازماني";"پشتيباني و ستاد - منابع انساني - كارآفريني";"عمومي";"11";20;"هدف از برگزاري اين دوره آشنايي مقدماتي مخاطبين با اصول و مفاهيم پلايه اي كارآفريني سازماني و مزاياي شكل گيري و توسعه آن مي باشد.";"كليه كاركنان";"حضوري";;"كلاس";"تئوري-عملي";"كتاب - جزوه";;"فوق ليسانس رشته كارآفريني، مديريت و مهندسي صنايع و يا مدرك مربي گري كارآفريني";"3 سال";"4 سال";"واكنشي";"نظرسنجي";;;;
13;13703;;"137";8;"كارآفريني سازماني (ويژه مديران و سرپرستان)";"پشتيباني و ستاد - منابع انساني - كارآفريني";"بهبود مديريت";"11";20;"هدف از برگزاري اين دوره آشنايي مخاطبين با اصول و مباني كارآفريني سازماني و نقش موثر ايشان در تسريع و تسهيل اين فرآيند در سازمان مي باشد.";"كليه روسا، سرپرستان و مديران سازمان مي توانند در اين دوره حضور يابند.";"حضوري";;"كلاس";"تئوري-عملي";"كتاب - جزوه";;"فوق ليسانس رشته كارآفريني، مديريت و مهندسي صنايع و يا مدرك مربي گري كارآفريني";"3 سال";"4 سال";"واكنشي";"نظرسنجي";;;;
14;13704;;"137";16;"تدوين طرحهاي توجيهي پروژه هاي كارآفرينانه (BP)";"پشتيباني و ستاد - منابع انساني - كارآفريني";"عمومي";"12";20;"هدف از برگزاري اين دوره آشنايي مخاطبين با شيوه نوشتن طرح توجيهي براي پروژه هاي كارآفرينانه مي باشد.";"كليه كاركنان";"حضوري";;"كلاس";"تئوري-عملي";"كتاب - جزوه";;"فوق ليسانس رشته كارآفريني، مديريت و مهندسي صنايع يا داراي مدرك مربي گري كارآفريني";"3 سال";"4 سال";"يادگيري";"آزمون";"60 از 100";;;
15;63008;;"630";32;"ASPEN ENERGY ANALYZER -انتگراسيون حرارتي فرايندهاي شيميايي به كمك نرم افزار";"طراحي و مهندسي فرآيند - نرم افزارها";"شغلي";"63001";15;"آشنايي با تكنولوژي PINCH و انتگراسيون حرارتي فرايندهاي شيميايي";"كارشناسان مهندسي فرايند";"حضوري";;"كارگاه";"تئوري-عملي";"كتاب - جزوه - نرم افزار";;"كارشناس ارشد مهندسي شيمي";"1";"3";"رفتاري";"آزمون";"تحويل پروژه";;;
16;63014;;"630";32;"ASPEN FLARE NET - طراحي شبكه FLARE  به كمك  نرم افزار";"طراحي و مهندسي فرآيند - نرم افزارها";"شغلي";;15;"آشنايي با اصول و مقدمات طراحي شبكه FLARE و روش پياده سازي آن در شبيه سازي ASPEM FLARE NET";"كارشناسان مهندسي فرايند";"حضوري";;"كارگاه";"تئوري-عملي";"كتاب - جزوه - نرم افزار";;"كارشناس ارشد مهندسي شيمي";"1";"3";"رفتاري";"آزمون";"تحويل پروژه";;;
17;63013;;"630";40;"ASPEN HEAT EXCHANGER DESIGN & RATING -  طراحي مبدلهاي حرارتي با استفاده از نرم افزار";"طراحي و مهندسي فرآيند - نرم افزارها";"شغلي";"63001";15;"توانمندسازي شركت كنندگان در طراحي انواع مبدلهاي حرارتي به كمك نرم افزار  ASPEN HEAT EXCHANGER DESIGN & RATING";"كارشناسان مهندسي فرايند";"حضوري";;"كارگاه";"تئوري-عملي";"كتاب - جزوه - نرم افزار";;"كارشناس ارشد مهندسي شيمي";"1";"3";"يادگيري";"آزمون";"تحويل پروژه";;;
18;63009;;"630";32;"ASPEN IPE - براورد هزينه هاي سرمايه گذاري پروژه هاي صنعتي به كمك نرم افزار ASPEN ICARUS PROCESS EVALUATOR";"طراحي و مهندسي فرآيند - نرم افزارها";"شغلي";;15;"آموزش مفاهيم اساسي و معرفي نرم افزار جهت براورد سريع و دقيق ميزان سرمايه گذاري و انجام ارزيابي اقتصادي طرحهاي پيشنهادي در صنايع شيميايي";"كارشناسان مهندسي فرايند";"حضوري";;"كارگاه";"تئوري-عملي";"كتاب - جزوه - نرم افزار";;"كارشناس ارشد مهندسي شيمي";"1";"3";"يادگيري";"آزمون";"تحويل پروژه";;;
19;63012;;"630";32;"ASPEN MUSE/MUSC/MULE- طراحي مبدلهاي خاص به كمك  نرم افزار هاي";"طراحي و مهندسي فرآيند - نرم افزارها";"شغلي";;15;"آشنايي با طراحي و شبيه سازي مبدلهاي ترموسيفون و PLATE FIN  به كمك نرم افزار  ASPEN MUSE /شبيه سازي لايه به لايه مبدلهاي PLATE FIN به كمك نرم افزار ASPEN MULE و شبيه سازي مبدلهاي CROSS FLOW  به كمك نرم افزار  MUSE";"كارشناسان مهندسي فرايند";"حضوري";;"كارگاه";"تئوري-عملي";"كتاب - جزوه - نرم افزار";;"كارشناس ارشد مهندسي شيمي";"1";"3";"رفتاري";"آزمون";"تحويل پروژه";;;
20;12010;;"120";16;"بازاريابي با  استفاده از شبكه جهاني(اينترنت)";"پشتيباني و ستاد - بازرگاني";"شغلي";;20;"ابزارها و سازگارهاي بازاريابي از طريق اينترنت  را تشريح نمايد";"مديران، سرپرستان و كارشناسان بازرگاني";"حضوري";;"كلاس";"تئوري-عملي";"جزوه - نرم افزار";;"فوق ليسانس مديريت بازرگاني /MBA";"3 سال";"5 سال";"يادگيري";;;;;
21;12022;;"120";24;"حقوق بازرگاني";"پشتيباني و ستاد - بازرگاني";"شغلي";;20;"آشنايي با انواع شركتها، مجامع، وظايف هيئت مديره،تعاريف و اصطلاحات مربوط";"كاركنان واحدهاي حقوقي، مالي و واحدهاي بررسي منابع و خريد و مديريت بازرگاني و اعضا كميسيون مناقصات";"حضوري";;"كلاس";"تئوري";"كتاب";;"ليسانس مديريت بازرگاني / حقوق";"3 سال";"3 سال";"يادگيري";;;;;
22;12037;;"120";16;"آشنايي با بسته بندي";"پشتيباني و ستاد - بازرگاني";"شغلي";;20;"تشريح اهميت بسته يندي در سيستم توزيع و بيان مهمترين علائم و اختصارات بسته بندي و انواع بسته بندي و ماشين آلات نوين بسته بندي";"كاركنان خدمات كالا  و امور گمركي و ترخيص";"حضوري";;"كلاس";"تئوري-عملي";"جزوه";;"ليسانس مهندسي صنايع/مديريت صنعتي/مديريت اجرايي";"3 سال";"5 سال";"يادگيري";;;;;
23;12038;;"120";24;"مديريت شكايات مشتريان";"پشتيباني و ستاد - بازرگاني";"شغلي";;20;"ترسيم فرايند رسيدگي و مديريت شكايات مشتريان محصولات پتروشيمي";"داراي مدرك حداقل ليسانس فني دريكي از رشته ها";"حضوري";;"كلاس";"تئوري";"جزوه";"5 سال سابقه كار در صنايع/5 سال سابقه تدريس در زمينه سيستمهاي مديريت كيفيت";"فوق ليسانس مهندسي صنايع";"5 سال";"5 سال";"يادگيري";;;;;
24;12039;;"120";24;"مشتري و مشتري مداري";"پشتيباني و ستاد - بازرگاني";"شغلي";;20;"آشنايي با روشهاي شناسايي نيازهاي مشتريان و مديريت نظام روابط مشتري";"داراي مدرك حداقل ليسانس فني در يكي از رشته ها";"حضوري";;"كلاس";"تئوري";"جزوه";"5 سال سابقه كار در صنايع/5 سال سابقه تدريس در زمينه بازاريابي فروش و صادرات";"فوق ليسانس مديريت بازرگاني";"5 سال";"5 سال";"يادگيري";;;;;
25;12040;;"120";16;"اثرات بسته بندي در پيشبرد فروش و صادرات";"پشتيباني و ستاد - بازرگاني";"شغلي";;20;"اهميت و نقش بسته بندي در پيشبرد فروش و صادرات ، انواع بسته بندي و هزينه هاي مربوطه";"كارشناسان بازرگاني و تداركات";"حضوري";;"كلاس";"تئوري";"كتاب - جزوه";;" ليسانس مديريت بازرگاني";"3 سال";"5 سال";"يادگيري";;;;;
26;63004;;"630";32;"ASPEN -طراحي و كنترل برجهاي تقطير به كمك  شبيه ساز";"طراحي و مهندسي فرآيند - نرم افزارها";"شغلي";;15;"طراحي و كنترل برجهاي تقطير واحدهاي فرايندي با استفاده از شبيه ساز ASPEN";"كارشناسان مهندسي فرايند";"حضوري";;"كارگاه";"تئوري-عملي";"كتاب - جزوه - نرم افزار";;"كارشناس ارشد مهندسي شيمي";"1";"3";"رفتاري";"آزمون";"تحويل پروژه";;;
27;63028;;"630";32;"GP.NET -	 شبيه سازي و محاسبات شبكه هاي گاز رساني به كمك نرم افزار";"طراحي و مهندسي فرآيند - نرم افزارها";"شغلي";;15;"اموزش محاسبات شبكه هاي گاز رساني و طراحي خطوط انتقال گاز با نرم افزار GP.NET";"كارشناسان مهندسي فرايند، شيمي و مكانيك";"حضوري";;"كارگاه";"تئوري-عملي";"كتاب - جزوه - نرم افزار";;"كارشناس ارشد مهندسي شيمي / مكانيك سيالات";"1";"3";"يادگيري";"آزمون";"تحويل پروژه";;;
28;63036;;"630";24;"HEXTRAN - طراحي مبدلهاي پوسته و لوله و شبيه سازي شبكه مبدل حرارتي به كمك نرم افزار";"طراحي و مهندسي فرآيند - نرم افزارها";"شغلي";;15;"اشنايي با طراحي مدلهاي پوسته لوله و شبيه سازي شبكه مبدلهاي حرارتي به كمك نرم افزار HEXTRAN";"كارشناسان مهندسي فرايند";"حضوري";;"كارگاه";"تئوري-عملي";"كتاب - جزوه - نرم افزار";;"كارشناس ارشد مهندسي شيمي / مكانيك سيالات";"1";"3";"يادگيري";"آزمون";"تحويل پروژه";;;
29;63019;;"630";40;"HYSYS -  برنامه نويسي توسعه اي در نرم افزار";"طراحي و مهندسي فرآيند - نرم افزارها";"شغلي";;15;"ايجاد مهارت عالي در كاربرد نرم افزار HYSYS  در شبيه سازي فرآيندهاي شيميايي";"كارشناسان مهندسي فرايند";"حضوري";;"كارگاه";"تئوري-عملي";"كتاب - جزوه - نرم افزار";;"كارشناس ارشد مهندسي شيمي";"1";"3";"يادگيري";"آزمون";"تحويل پروژه";;;
30;14501;;"145";24;"ابعاد حقوقي پيمان";"پشتيباني و ستاد - حقوق - قراردادها و پيمانها";"شغلي";;20;"آشنايي با قواعد عام حاكم بر نحوه ايجاد و انشاء قراردادها";"كاركنان امور حقوقي، قراردادها، مالي، مديران و روساي ادارات";"حضوري";;"كلاس";"تئوري";"كتاب";"تجربه حرفه اي الزامي است";"فوق ليسانس رشته حقوق";"3 سال";"5 سال";"يادگيري";"آزمون";"60 از صد";;;
31;14112;;"141";48;"قراردادهاي پايين دستي (2) (فايننس، لايسنس، مشاوره، امكانسجي)";"پشتيباني و ستاد - حقوق - امور حقوقي";"شغلي";;20;"آشنايي با قراردادهاي پايين دستي";"كاركنان امور حقوقي و قراردادها و كاركنان بازرگاني";"حضوري";;"كلاس";"تئوري";"كتاب و جزوه";"تسلط به زبان انگليسي";"دكتري حقوق";"5 سال";"10 سال";;"آزمون";"60 از صد";;;
32;14505;;"145";24;"قراردادهاي بالادستي نفت (1)";"پشتيباني و ستاد - حقوق - قراردادها و پيمانها";"شغلي";;20;"قراردادهاي بالادستي";"كاركنان امور حقوقي و قراردادها و كاركنان بازرگاني";"حضوري";;"كلاس";"تئوري";"كتاب و جزوه";;"فوق ليسانس حقوق";"3 سال";"5 سال";"يادگيري";"آزمون";"60 از صد";;;
33;14113;;"141";24;"حقوق درياها و آبراه هاي بين المللي";"پشتيباني و ستاد - حقوق - امور حقوقي";"شغلي";;20;"آشنايي با انواع مناطق دريايي كشور و نظام حقوقي حاكم بر تنگه هرمز";"كاركنان امور حقوقي و قراردادها، معاونت هاي اجرايي";"حضوري";;"كلاس";"تئوري";"كتاب و جزوه";;"فوق ليسانس حقوق";"3 سال";"5 سال";"يادگيري";"آزمون";"60 از صد";;;
34;14509;;"145";16;"اصول و فنون مذاكره در قراردادهاي بين المللي";"پشتيباني و ستاد - حقوق - قراردادها و پيمانها";"شغلي";;20;"ارتقاء دانش و مهارت در مذاكرات بين المللي و اخذ امتياز";"كاركنان امور حقوقي و قراردادها و مديران و روساي ادارات";"حضوري";;"كلاس";"تئوري";"كتاب و جزوه";;"فوق ليسانس حقوق";"3 سال";"5 سال";"يادگيري";"آزمون";"60 از صد";;;
35;14114;;"141";16;"مراجع حل اختلاف قانون كار و آئين دادرسي";"پشتيباني و ستاد - حقوق - امور حقوقي";"شغلي";;20;"آشنايي با مراحل حل اختلاف قانون كار";"مديران، روسا و كاركنان امور حقوقي و قراردادها/ امور كاركنان / حراست";"حضوري";;"كلاس";"تئوري";"كتاب و جزوه";;"فوق ليسانس حقوق";"3 سال";"5 سال";"يادگيري";"آزمون";"60 از صد";;;
36;14115;;"141";24;"آشنايي با وظايف و اختيارات ديوان محاسبات كشور";"پشتيباني و ستاد - حقوق - امور حقوقي";"شغلي";;20;"آشنايي با ديوان محاسبات و آئين رسيدگي در آن";"كاركنان امور حقوقي و قراردادها و مديران و روساي ادارات";"حضوري";;"كلاس";"تئوري";"كتاب و جزوه";;"فوق ليسانس حقوق";"3 سال";"5 سال";"يادگيري";"آزمون";"60 از صد";;;
37;14116;;"141";24;"آشنايي با بيمه هاي حمل و نقل بين المللي";"پشتيباني و ستاد - حقوق - امور حقوقي";"شغلي";;20;"آشنايي با انواع بيمه هاي حمل و نقل بين المللي";"كاركنان امور حقوقي و قراردادها";"حضوري";;"كلاس";"تئوري";"كتاب و جزوه";;"فوق ليسانس حقوق";"3 سال";"5 سال";"يادگيري";"آزمون";"60 از صد";;;
38;14117;;"141";24;"آشنايي با داوري بين المللي (مديريت دعاوي و اختلافات)";"پشتيباني و ستاد - حقوق - امور حقوقي";"شغلي";;20;"اشنايي با داوري بين المللي";"كاركنان امور حقوقي و قراردادها/ مديران";"حضوري";;"كلاس";"تئوري";"كتاب و جزوه";;"فوق ليسانس حقوق";"3 سال";"5 سال";"يادگيري";"آزمون";"60 از صد";;;
39;14118;;"141";16;"حقوق حمل و نقل بين المللي";"پشتيباني و ستاد - حقوق - امور حقوقي";"شغلي";;20;"آشنايي با حقوق حمل و نقل بين المللي";"كاركنان امور حقوقي و قراردادها و معاونتهاي اجرايي";"حضوري";;"كلاس";"تئوري";"كتاب و جزوه";;"فوق ليسانس حقوق";"3 سال";"5 سال";"يادگيري";"آزمون";"60 از صد";;;
40;14119;;"141";24;"ترمينولوژي حقوق نفت";"پشتيباني و ستاد - حقوق - امور حقوقي";"شغلي";;20;"اشنايي با واژگان و اصطلاحات حقوقي نفت به زبان انگليسي";"كاركنان امور حقوقي و قراردادها/مديران مسلط به زبان انگليسي";"حضوري";;"كلاس";"تئوري";"كتاب";"تسلط كامل به زبان انگليسي";"فوق ليسانس حقوق";"3 سال";"5 سال";"يادگيري";"آزمون";"60 از صد";;;
41;14120;;"141";16;"شناخت حقوق مالكيت صنعتي";"پشتيباني و ستاد - حقوق - امور حقوقي";"شغلي";;20;"آشنايي با حقوق مالكيت معنوي";"كاركنان امور حقوقي و قراردادها و معاونتهاي فني";"حضوري";;"كلاس";"تئوري";"كتاب و جزوه";;"فوق ليسانس حقوق";"3 سال";"5 سال";"يادگيري";"آزمون";"60 از صد";;;
42;14510;;"145";16;"قراردادهاي انتقال تكنولوژي";"پشتيباني و ستاد - حقوق - قراردادها و پيمانها";"شغلي";"24012";20;"آشنايي با قوانين و مقررات حاكم بر انتقال دانش فني و تكنولوژي";"كاركنان حقوقي/قراردادها/معاونت¬هاي اجرايي مرتبط";"حضوري";;"كلاس";"تئوري";"كتاب و جزوه";;"كارشناسي ارشد حقوق مالكيت فكري";"3 سال";"5 سال";"يادگيري";"آزمون";"60 از صد";;;
43;14121;;"141";24;"حقوق رسيدگي به تخلفات اداري";"پشتيباني و ستاد - حقوق - امور حقوقي";"شغلي";;20;"آشنايي با قانون استخدام كشوري و آئين دادرسي در آن";"كاركنان امور حقوقي و قراردادها، امور اداري، مديران منابع انساني و هيئتهاي بدوي و حراست";"حضوري";;"كلاس";"تئوري";"كتاب و جزوه";;"فوق ليسانس حقوق";"3 سال";"5 سال";"يادگيري";"آزمون";"60 از صد";;;
44;14122;;"141";24;"بررسي قوانين و مقررات هاي محاسباتي";"پشتيباني و ستاد - حقوق - امور حقوقي";"شغلي";;20;"ارتقاء دانش در مورد تنظيم بودجه، قانون بودجه و مالياتها";"مديران و روساي ادارات واحدهاي مالي، حقوقي و قراردادي ، بازرگاني";"حضوري";;"كلاس";"تئوري";"كتاب و جزوه";;"فوق ليسانس حقوق";"3 سال";"5 سال";"يادگيري";"آزمون";"60 از صد";;;
45;14123;;"141";24;"نحوه اجراي اسناد رسمي";"پشتيباني و ستاد - حقوق - امور حقوقي";"شغلي";;20;"آشنايي با مفاد اسناد رسمي و نحوه اجراي ان";"كاركنان امور حقوقي و قراردادها";"حضوري";;"كلاس";"تئوري";"كتاب و جزوه";;"فوق ليسانس حقوق";"3 سال";"5 سال";"يادگيري";"آزمون";"60 از صد";;;
46;14124;;"141";24;"جنبه هاي حقوقي اعتبارات اسنادي و گشايش اعتبار";"پشتيباني و ستاد - حقوق - امور حقوقي";"شغلي";;20;"آگاهي از جنبه هاي حقوقي اعتبارات اسنادي و گشايش اعتبار";"كاركنان امور حقوقي و قراردادها، مالي و بازرگاني";"حضوري";;"كلاس";"تئوري";"كتاب";;"فوق ليسانس حقوق";"3 سال";"5 سال";"يادگيري";"آزمون";"60 از صد";;;
47;14125;;"141";16;"دعاوي مربوط به اسناد تجاري";"پشتيباني و ستاد - حقوق - امور حقوقي";"شغلي";;20;"آشنايي با اسناد تجاري و نحوه طرح دعوي";"كاركنان امور حقوقي و قراردادها، مالي و بازرگاني";"حضوري";;"كلاس";"تئوري";"كتاب و جزوه";;"فوق ليسانس حقوق";"3 سال";"5 سال";"يادگيري";"آزمون";"60 از صد";;;
48;14126;;"141";16;"جرايم اينترنتي (سايبري)";"پشتيباني و ستاد - حقوق - امور حقوقي";"عمومي";;20;"آشنايي با انواع جرايم اينترنتي";"كاركنان واحدهاي فناوري اطلاعات";"حضوري";;"كلاس";"تئوري";"كتاب و جزوه";"آشنايي به علوم رايانه اي";"فوق ليسانس حقوق";"3 سال";"5 سال";"يادگيري";"آزمون";"60 از صد";;;
49;14127;;"141";16;"حقوق اينترنت و تجارت الكترونيك";"پشتيباني و ستاد - حقوق - امور حقوقي";"شغلي";;30;"آشنايي با رمزنگاري و مشكلات اجرايي آن، امضاي ديجيتالي و ميزان اعتبار آن";"كاركنان امور حقوقي و قراردادها، مالي و مديران و مسئولين";"حضوري";;"كلاس";"تئوري-عملي";"كتاب و جزوه";;"فوق ليسانس حقوق";"3 سال";"5 سال";"يادگيري";"آزمون";"60 از صد";;;
50;14128;;"141";16;" حقوق فناوري اطلاعات (IT)";"پشتيباني و ستاد - حقوق - امور حقوقي";"شغلي";;30;"آشنايي با مباني حقوقي مالكيت فكري";"كاركنان حقوقي، قراردادها و معاونتهاي اجرايي مرتبط";"حضوري";;"كلاس";"تئوري";"كتاب و جزوه";"آشنا به علوم رايانه اي";"فوق ليسانس حقوق";"3 سال";"5 سال";"يادگيري";"آزمون";"60 از صد";;;
51;14129;;"141";16;"حقوق محيط زيست";"پشتيباني و ستاد - حقوق - امور حقوقي";"شغلي";;20;"اشنايي با الزامات حقوقي محيط زيست";"كاركنان حقوقي، قراردادها ، معاونتهاي اجرايي و پيمانكاران";"حضوري";;"كلاس";"تئوري";"كتاب و جزوه";;"فوق ليسانس حقوق";"3 سال";"5 سال";"يادگيري";"آزمون";"60 از صد";;;
52;14130;;"141";16;"آشنايي با قوانين كار و تامين اجتماعي";"پشتيباني و ستاد - حقوق - امور حقوقي";"شغلي";;20;"اشنايي با نظام روابط كار و تامين اجتماعي";"كاركنان حقوقي، قراردادها و معاونتهاي اجرايي";"حضوري";;"كلاس";"تئوري";"كتاب و جزوه";;"فوق ليسانس حقوق";"3 سال";"5 سال";"يادگيري";"آزمون";"60 از صد";;;
53;14131;;"141";16;"مقررات حاكم بر اجراي اصل 44 قانون اساسي";"پشتيباني و ستاد - حقوق - امور حقوقي";"شغلي";;20;"آشنايي با قوانين و مقررات مرتبط با واگذاري شركتهاي دولتي و مشكلات اجرايي آن";"كاركنان حقوقي، قراردادها و مديران و روساي ادارات";"حضوري";;"كلاس";"تئوري";"كتاب و جزوه";;"فوق ليسانس حقوق";"3 سال";"5 سال";"يادگيري";"آزمون";"60 از صد";;;
54;14132;;"141";24;"اصول و قوانين حاكم بر مجامع نفتي بين المللي (اپك و اپك گازي)";"پشتيباني و ستاد - حقوق - امور حقوقي";"شغلي";;20;"آشنايي با قوانين حاكم بر مجامع نفتي و گازي بين المللي";"كاركنان حقوقي، قراردادها و روساي مجامع و معاونتهاي بازرگاني";"حضوري";;"كلاس";"تئوري";"كتاب و جزوه";;"فوق ليسانس حقوق";"3 سال";"5 سال";"يادگيري";"آزمون";"60 از صد";;;
55;14506;;"145";24;"قراردادهاي بالادستي نفت (2)";"پشتيباني و ستاد - حقوق - قراردادها و پيمانها";"شغلي";"14505";20;"آشنايي با قراردادهاي تركيبي و خدماتي";"كاركنان امور حقوقي و قراردادها";"حضوري";;"كلاس";"تئوري";"كتاب و جزوه";;"فوق ليسانس حقوق";"3 سال";"5 سال";"يادگيري";"آزمون";"60 از صد";;;
56;63020;;"630";32;"HYSYS DYNAMICS     - شبيه سازي ديناميكي فرايندهاي شيميايي به كمك   نرم افزار";"طراحي و مهندسي فرآيند - نرم افزارها";"شغلي";;15;"آشنايي با اصول شبيه سازي ديناميكي و طريق انجام شبيه سازي فرايندهاي شيميايي در حالت ديناميك";"كارشناسان مهندسي فرايند";"حضوري";;"كارگاه";"تئوري-عملي";"كتاب - جزوه - نرم افزار";;"كارشناس ارشد مهندسي شيمي";"1";"3";"يادگيري";"آزمون";"تحويل پروژه";;;
57;63026;;"630";32;"PVT-SIM / OLGA - شبيه سازي و طراحي خطوط لوله چند فازي به كمك  نرم افزار";"طراحي و مهندسي فرآيند - نرم افزارها";"شغلي";;15;"آشنايي شركت كنندگان با نحوه شبيه سازي و طراحي خطوط لوله توسط نرم افزار OLGA";"كارشناسان مهندسي فرايند";"حضوري";;"كارگاه";"تئوري-عملي";"كتاب - جزوه - نرم افزار";;"كارشناس ارشد مهندسي شيمي";"1";"3";"يادگيري";"آزمون";"تحويل پروژه";;;
