"كد دوره";"كد دوره در نفت";"کد دوره در پالايش و پخش";"کد دوره در گاز";"کد دوره در پتروشيمي"
65025;17260;;;
65026;17279;;;
65027;-;;;
65028;-;;;
65029;-;;;
65030;20747;;;
65031;16828;;;
65032;-;;;
65033;17248;;;
65034;14215;;;
65035;15534;;;
65036;17290;;;
65037;17285;;;
65038;18883;;;
65039;12474;;;
65040;-;;;
65041;18860;;;
26001;-;;1096;
26002;-;;-;
26003;21758;;30011;
26004;11334;;1010-1024;
26005;12613;;1011-1012-1348;
26006;14509;;3098-3019-3879;
26007;-;;3178;
26008;37956;;3073;
26009;21695;;-;
26010;-;;-;
26011;21671;;-;
26012;-;;-;
26013;-;;-;
26014;17579;;3098;
26015;-;;-;
26016;22238;;-;
26017;9008;;-;
26018;21864;;-;
26019;20854;;-;
26020;-;;-;
26021;-;;-;
26022;-;;-;
26023;17400;;-;
26024;-;;3211;
26025;-;;-;
26026;-;;;
26027;-;;;
5001;21215;;3113-1120-3110;
5002;22993;;1546;
5003;16214;;1273;
5004;16100;;1845-1187-30081;
5005;-;;1860-10005;
5006;-;;-;
5007;21664;;-;
5008;-;;-;
5009;-;;-;
5010;23110;;-;
5011;-;;-;
5012;-;;-;
5013;-;;-;
5014;-;;-;
5015;-;;-;
5016;-;;-;
5017;-;;-;
5018;-;;-;
5019;-;;-;
5020;-;;-;
5021;-;;-;
5022;-;;;
5023;-;;;
66001;15189;;;
66002;-;;;
66003;23467;;;
66004;20838;;;
66005;22908;;;
66006;22907;;;
66007;17210;;;
66008;-;;;
66009;23482;;;
66010;-;;;
66030;22497;;;
66012;-;;;
66032;23418;;;
66014;-;;;
66015;-;;;
66016;-;;;
66017;-;;;
66018;21284;;;
66019;-;;;
66020;22743;;;
66021;17095;;;
66022;20852;;;
66023;-;;;
66024;18834;;;
66025;17067;;;
66026;-;;;
66027;18532;;;
66028;-;;;
66029;23684;;;
66030;;;;
21401;50008;;;
21402;;;;215090
21403;;;;211050
21404;;;;218413
21405;50003;;;
21406;;;;211020
21407;;;;211021
21408;;;;211025
21409;;;;211057
21410;209141;;;
21411;209141;;;
21412;;19102;;
21413;;;;211060
21414;;;;211076
21415;;;;211075
21416;;;;211066
21417;;;;243140
21418;;19108;;
21419;;19104;;
21420;;;;211065
21421;;;;211005
21422;;;;211046
21423;;;;
21424;15580;;;
21425;;;;211108
21426;;;;211064
21427;50004;;;
21428;;;;211106
21429;;;;215040
21430;;;;211071
21431;50002;;;
21432;;;;
21433;;;;211085
21434;50005;;;
21435;;;;211105
21436;50006;;;
21437;;;;50001
21438;;;;215020
21439;;;;215010
21440;;;;211061
21441;;;;215050
21442;50007;;;
21443;;19410;;
21444;;19410;;
21445;;;;
21446;;;;
21447;;;;
21447;;;;
12001;12085;;44021-1282-1284-1277-1196;
12002;12104;;1338-1341-1069-1334-1335-1339-44025-1337-1368;
12003;14593;;7002-1275-1368-1336;
12004;14588;;-;
12005;14590;;1023-1071-1338;
12006;22086;;1373;
12007;13076;;1343-3867-3869-44016-1176-3079-30061;
12008;16355;;3901;
12009;14594;;1214;
12010;-;;1283;
12011;16932;;1518;
12012;23063;;-;
12013;12112;;3870-44013-3159-1296-1540;
12014;12140;;3871;
12015;12506;;44007-1194-1094-3876-7102;
12016;14546;;42014-44019-3154-1104-1182-46007;
12017;16542;;-;
12018;14627;;44006;
12019;16839;;1059;
12020;17182;;1356-1358-44001;
12021;17810;;1015;
12022;-;;-;
12023;19079;;44028-44012;
12024;19084;;7072;
12025;22852;;3856-44017;
12026;12117;;44022-1322-1289-3872-1066-1278;
12027;12136;;1322-44020-1290-1154-44018;
12028;16651;;1294;
12029;12101;;1077-1274;
12030;12106;;1276-1333-1280-1286-1332-1371-1334;
12031;14518;;1279-1291-1295-1277;
12032;14596;;3164;
12033;14804;;1078-1534;
12034;16449;;7046-44010-44008;
12035;12149;;-;
12036;17004;;1023;
12037;-;;1293-44023;
12038;-;;-;42060
12039;-;;30083-44014;42050
12040;-;;410057;
12041;;;;
43001;18174;;;
43002;22803;;;
43003;10853;;;
43004;-;;;
43005;-;;;
43006;-;;;
43007;-;;;
43008;-;;;
43009;-;;;
43101;12356;;;
43102;12366;;;
43103;-;;;
43104;16889;;;
43201;23887;;;
43202;23351;;;
43203;23752;;;
43204;-;;;
43205;10927;;;
43206;15288;;;
43301;-;;;
43302;18176;;;
43303;18400;;;
43304;-;;;
43305;-;;;
43401;-;;;
43402;-;;;
43403;-;;;
43404;-;;;
43405;-;;;
43406;-;;;
43407;18175;;;
9001;11490;53427-53396;;
9002;11491;;;
9003;22681;531030-53502;;
9004;13607;53122-53539-53526;;
9005;18821;53481;;
9006;17059;53218;;
9007;17369;53164-53497-53108-53501-53175;;
9008;23761;;;
9009;12597;;;
9010;23142;53520-53358-53349-53399;;
9011;18126;;;
9012;11693;53221;;
9013;22826;;;
9014;22516;;;
9015;13096;53477-53347-53262;;
9016;21191;53462-53117-;;
9017;21649;53250;;
9018;13086;53450;;
9019;17363;;;
9020;-;53191;;
9021;11844;53126-53428-53525;;
9022;14504;53104;;
9023;18167;;;
9024;12719;533230-53499-53185-53222;;
9025;23764;;;
9026;11854;53112-53174-53234;;
9027;18169;53443;;
9028;13089;53440;;
9029;22910;53498;;
9030;23451;;;
9031;22637;53255;;
9032;17377;53141-53139-53340;;
9033;21189;53388;;
9034;12624;53140;;
9035;20770;;;
9036;14571;53115-53147;;
9037;23069;;;
9038;21631;;;
9039;22514;;;
9040;23758;;;
9041;16516;;;
9042;;;;
9043;-;;;
9044;-;;;
9045;-;;;
9046;;;;
9047;;;;
9048;;;;
21201;;;;
21202;;;;218403
21203;21129;;;
21204;;;;218411
21205;10614;;;
21206;;;;218416
21207;;;;218415
21208;;;;211012
21209;;;;218420
21210;;;;
21211;;;;
21212;;;;218418
21213;;;;
21214;20959;;;
21215;;;;218401
21216;;;;218408
21217;;;;218405
21218;;;;218404
21219;13322;;;
21220;22221;;;
21221;;;;
21222;;;;218414
21223;;;;218409
21224;;;;
21225;;;;218417
21226;15567;;;
21227;17323;;;
21228;;;;218406
21229;;;;
21230;;;80132;
21231;;;;
21232;;;;
51001;17230;;;
51002;-;;;
51003;16242;;;
51004;10185;;;
51005;-;;;
51006;15157;;;
51007;-;;;
51008;-;;;
51009;-;;;
51010;-;;;
51011;-;;;
51012;15153;;;
51013;18599;;;
51014;10705;;;
51015;-;;;
51016;-;;;
51017;22929;;;
51018;23174;;;
51019;-;;;
51020;-;;;
51021;12279;;;
51022;-;;;
51023;15162;;;
51024;23423;;;
51025;10375;;;
51026;12929;;;
51027;10429;;;
51028;-;;;
51029;16272;;;
51030;-;;;
51031;16627;;;
51032;16855;;;
51033;20159;;;
51034;-;;;
51035;21164;;;
51036;20173;;;
51037;-;;;
51038;15482;;;
51039;20172;;;
51040;22965;;;
51041;-;;;
51042;15156;;;
51043;-;;;
51044;-;;;
51045;-;;;
51046;-;;;
51047;-;;;
51048;-;;;
51049;22266;;;
51050;-;;;
52001;172301;;;
52002;18829;;;
52003;22909;;;
