"كد دوره";"كد دوره در نفت";"کد دوره در پالايش و پخش";"کد دوره در گاز";"کد دوره در پتروشيمي"
11015;11433;;1318;
11016;11438;;3037-3842-3838;
11017;11446;;1315-3891-1528-1048-46006;
11018;11590;;1059;
11019;11858;;1082;
11020;12473;;1317;
11021;12482;;-;
11022;12490;;1544-1536-1092-1056-1047-1514-3163-3187-3836-3837-42005-1073-1064-1545;
11023;12491;;1047;
11024;12518;;1520-1340-1169;
11025;12881;;-;
11026;14622;;1221-42007;
11027;14630;;-;
11028;14645;;-;
11029;16267;;-;
11030;16344;;1342;
11031;16460;;1347;
11032;16543;;-;
11033;18286;;1319;
11034;20996;;3839-42008;
11035;22040;;42014-46007-1182-1169;
11036;22222;;-;
11037;-;;-;
11038;23372;;-;
11039;23383;;-;
11040;23509;;3876;
11041;23357;;1194;
21601;;;;
21602;;;;
21603;;;;
21604;;;;241028
21605;;;;241024
21606;;;;241018
21607;;;;241025
21608;;;;241009
21609;;;;
21610;;;;241029
21611;;;;241023
21612;;;;241014
21613;;;;241013
21614;;;;241020
21615;;;;241011
21616;;;;
21617;;;;241026
21618;;;;
21619;;;;
21620;;;;241022
21621;;;;241008
21622;;;80311;
21623;18446;;;
21624;;;;241012
21625;;;;
21626;;19413;;
21627;;;;241001
21628;;;;241006
21629;;;;241002
21630;;;;241007
21631;;;;
21632;;;;
21633;;;;
21634;;;;
21635;;;;
24001;20350;;;
24002;16798;;;
24003;-;;;
24004;21027;;;
24005;22359;;;
24006;-;;;
24007;14646;;;
24008;14647;;;
24009;17172;;;
24010;22823;;;
24011;16945;;;
24012;14566;;;
24013;21766;;;
24014;-;;;
22001;23531;;;
22002;22226;;;
22003;23682;;;
22004;-;;;
22005;18810;;;
22006;11143;;;
22007;14014;;;
22008;-;;;
22009;23528;;;
22010;-;;;
22011;-;;;
22012;23542;;;
22013;-;;;
22014;23519;;;
22015;23544;;;
22016;23160;;;
22017;23529;;;
22018;23554;;;
22019;23541;;;
22020;23538;;;
22021;23537;;;
22022;-;;;
22023;-;;;
22024;-;;;
22025;23278;;;
22026;22036;;;
22027;13101;;;
22028;-;;;
22029;14568;;;
22030;23536;;;
22031;15715;;;
22032;23527;;;
22033;23521;;;
22034;23522;;;
22035;23524;;;
22036;23513;;;
22037;-;;;
22038;;;;
22039;;;;
22040;;;;
56001;-;;;
56002;-;;;
56003;-;;;
56004;18318;;;
56005;23240;;;
56006;16641;;;
56007;17442;;;
56008;15255;;;
56009;-;;;
56010;15553;;;
56011;20479;;;
56012;20377;;;
56013;-;;;
56014;-;;;
56015;-;;;
56016;10703;;;
56017;-;;;
56018;17030;;;
56019;18263;;;
56022;-;;;
56020;-;;;
56021;-;;;
56023;17857;;;
56024;23435;;;
57001;12277;;;
57002;15869;;;
57003;-;;;
57004;-;;;
57005;-;;;
57006;15680;;;
57007;38010;;;
57008;-;;;
57009;12326;;;
57010;18870;;;
57011;-;;;
57012;-;;;
57013;23243;;;
57014;23244;;;
57015;21405;;;
57016;16412;;;
57017;18832;;;
57018;-;;;
57019;-;;;
57020;-;;;
57021;-;;;
57022;21141;;;
57023;23436;;;
57024;22245;;;
57025;23441;;;
57026;23216;;;
57027;-;;;
57028;-;;;
57029;-;;5332;
54001;163301;;;
54002;16330;;;
54003;10792;;;
54004;20150;;;
54005;10463;;;
54006;15232;;;
54007;15230;;;
54008;22346;;;
54009;21316;;;
54010;23416;;;
54011;21315;;;
54012;10642;;;
54013;18924;;;
54014;12330;;;
54015;21308;;;
54016;12328;;;
54017;15171;;;
54018;10294;;;
54019;21414;;;
54020;21407;;;
54021;17106;;;
54022;17682;;;
55001;14257;;;
55002;16888;;;
55003;10554;;;
55004;16427;;;
55005;-;;;
55006;15658;;;
55007;14264;;;
55008;12302;;;
55009;12298;;;
55010;-;;;
55011;14269;;;
55012;-;;;
55013;15235;;;
55014;-;;;
55015;-;;;
53001;20639;;;
53002;12284;;;
53003;14295;;;
53004;14317;;;
53005;20265;;;
53006;16358;;;
53007;14311;;;
53008;20446;;;
53009;21409;;;
53010;20439;;;
53011;16276;;;
53012;16699;;;
53013;15269;;;
;-;;1098;
;11666;;40011-40013-1033;
;20680;;1037;
;21024;;-;
;21436;;1098;
;21437;;-;
;21438;;-;
;22384;;30033-3089-30034;
;12619;;1124-3823;
;11494;;40023-3023-3057;
;14620;;40026-4112-3059;
;18099;;3106;
;18976;;3129-3454-1113-4114;
;20269;;4118;
;20647;;3129-4113-40027;
;22276;;3210;
;22994;;-;
;23157;;30090-3071-40048;
;12859;;3051;
;17189;;3847;
;17798;;30030-40025-40049-30004-40007;
;16466;;3119-3124-3082-3820-40013-3038-3847-30013;
;12633;;1113-40028;
;23382;;-;
;23415;;3053-3827-30001-30002-80115-3015-3826;
;20026;;-;
;14559;;30022-1238;
;18164;;1096;
;14699;;1330-1532;
;20727;;40020;
;20676;;3808;
;20671;;1366-1075;
;23385;;1062;
;21693;;40018;
;20004;;-;
;-;;4115;
;-;;-;
;-;;-;
;-;;-;
;-;;-;
;21435;;1098;
;11414;;-;
;21655;;-;
;20006;;1031-1537;
;20862;;-;
;20864;;-;
;;;3210-3139-30046;
;;;3244;
;;;3245;
;;;3246;
;14550;;;
;13734;;;
;16288;;;
13001;17798;;30030-40025-40049-30004-40007;
13002;16466;;3119-3124-3082-3820-40013-3038-3847-30013;
13003;23415;;3053-3827-30001-30002-80115-3015-3826;
13004;14699;;1330-1532;
13005;14550;;;
13006;13734;;;
13007;16288;;;
;;;;
13101;11684;;-;
13102;20112;;-;
13103;-;;-;
13104;20105;;-;
13105;-;;-;
13106;20122;;-;
13107;-;;-;
13108;-;;-;
13109;-;;-;
13110;-;;-;
13111;12586;;-;
13201;17189;;3847;
13202;23382;;-;
13203;20026;;-;
13204;14559;;30022-1238;
13205;18164;;1096;
13206;23385;;1062;
13207;20004;;-;
13208;11414;;-;
13301;12619;;1124-3823;
13302;11494;;40023-3023-3057;
13303;14620;;40026-4112-3059;
13304;18099;;3106;
13305;18976;;3129-3454-1113-4114;
13306;20269;;4118;
13307;20647;;3129-4113-40027;
13308;22276;;3210;
13309;22994;;-;
13310;23157;;30090-3071-40048;
13311;12859;;3051;
13312;12633;;1113-40028;
13313;-;;4115;
13314;-;;-;
13315;-;;-;
13316;-;;-;
13317;-;;-;
13401;-;;1098;
13402;11666;;40011-40013-1033;
13403;20680;;1037;
13404;21024;;-;
13405;21436;;1098;
13406;21437;;-;
13407;21438;;-;
13408;22384;;30033-3089-30034;
13409;21435;;1098;
13410;21655;;-;
13501;18087;;40010-1530;
13502;19071;;-;
13503;19068;;-;
13504;22004;;-;
13505;;;;
13506;;;;
13507;;;1313;
13508;;;;
13509;;;;
13510;;;;
13601;20006;;1031-1537;
13602;20862;;-;
13603;20864;;-;
13701;;;3210-3139-30046;
13702;;;3244;
13703;;;3245;
13704;;;3246;
13801;20727;;40020;
13802;21693;;40018;
13803;20676;;3808;
13804;20671;;1366-1075;
13901;19098;;3021-3054-30029-30030-80116-3224;
13902;-;;1185-40005-3894-40006-40007-46003-1186;
13903;22800;;1106;
13904;23722;;80115;
13905;12617;;1106;
13906;23727;;1097-40032;
13907;23691;;-;
13908;20804;;3030;
13909;19097;;-;
13910;23719;;1108-3203;
13911;11723;;-;
13912;20809;;30085;
13913;19099;;-;
13914;18423;;30029-3021-3054;
13915;20111;;1109-3073;
13916;-;;40033;
13917;20021;;1134-40009-1110;
13918;-;;-;
13919;-;;-;
13920;-;;-;
13921;14538;;3825-30024-3214-30070-1252-2870-3146;
13922;16483;;3626;
13923;20808;;-;
13924;23726;;-;
13925;;;;
73001;15454;;;
73002;20544;;;
73003;15411;;;
73004;17440;;;
73005;12825;;;
73006;-;;;
73007;-;;;
73008;23685;;;
73009;-;;;
73010;-;;;
76001;18267;;;
76002;-;;;
76003;20361;;;
76004;-;;;
76005;-;;;
76006;-;;;
76007;-;;;
76008;16626;;;
76009;38021;;;
76010;16638;;;
76011;-;;;
76012;17434;;;
76013;-;;;
76014;-;;;
76015;-;;;
76016;-;;;
76017;-;;;
76018;-;;;
76019;-;;;
76020;-;;;
76021;-;;;
76022;15416;;;
76023;15417;;;
76024;-;;;
76025;-;;;
76026;21075;;;
76027;23139;;;
76028;-;;;
76029;-;;;
76030;-;;;
76031;21546;;;
76032;20536;;;
76033;-;;;
76034;20543;;;
76035;23210;;;
76036;15399;;;
76037;-;;;
76038;21079;;;
76039;-;;;
76040;21081;;;
76041;210811;;;
76042;23211;;;
76043;-;;;
76044;20368;;;
76045;-;;;
76046;-;;;
76047;-;;;
75001;-;;;
75002;15464;;;
75003;23498;;;
75004;-;;;
75005;12833;;;
75006;18270;;;
75007;15425;;;
75008;15423;;;
75009;-;;;
75010;15460;;;
75011;15587;;;
75012;18317;;;
75013;16970;;;
75014;38025;;;
75015;23501;;;
75016;-;;;
75017;-;;;
75018;12818;;;
75019;20545;;;
75020;20549;;;
70001;12155;;;
70002;12160;;;
70003;15571;;;
70004;17986;;;
70005;21410;;;
70006;17222;;;
70007;20541;;;
70008;20542;;;
70009;-;;;
71001;20915;;;
71002;20504;;;
71003;15413;;;
71004;21520;;;
71005;20909;;;
71006;-;;;
71007;21521;;;
71008;22077;;;
71009;-;;;
71010;23206;;;
71011;-;;;
71012;17081;;;
71013;13596;;;
71014;-;;;
71015;16688;;;
71016;-;;;
71017;21517;;;
71018;21516;;;
71019;-;;;
74001;15211;;;
74002;-;;;
74003;-;;;
74004;-;;;
74005;-;;;
74006;-;;;
74007;21895;;;
74008;-;;;
74009;22076;;;
74010;-;;;
81001;18705;;;
81002;10060;;;
81003;13568;;;
81004;15079;;;
81005;15011;;;
81006;22873;;;
81007;18080;;;
81008;20494;;;
81009;14971;;;
81010;15089;;;
81011;13564;;;
81012;22875;;;
81013;10305;;;
81014;12921;;;
81015;17467;;;
81016;16794;;;
81017;18505;;;
81018;17060;;;
81019;12919;;;
81020;20979;;;
81021;23800;;;
81022;15289;;;
81023;13567;;;
81024;23798;;;
81025;;;;
81026;18545;;;
81027;18919;;;
81028;22482;;;
81029;17637;;;
81030;16812;;;
81031;22378;;;
81032;22382;;;
81033;18562;;;
81034;18561;;;
81035;21492;;;
81036;18122;;;
81037;21493;;;
81038;17618;;;
81039;21572;;;
81040;17544;;;
81041;21724;;;
81042;17644;;;
81043;21503;;;
81044;20816;;;
81045;17079;;;
81046;18547;;;
81047;22716;;;
81048;18548;;;
81049;17074;;;
81050;23082;;;
81051;22956;;;
81052;23081;;;
81001;18705;;;
81002;10060;;;
81003;13568;;;
81004;15079;;;
81005;15011;;;
81006;22873;;;
81007;18080;;;
81008;20494;;;
81009;14971;;;
81010;15089;;;
81011;13564;;;
81012;22875;;;
81013;10305;;;
81014;12921;;;
81015;17467;;;
81016;16794;;;
81017;18505;;;
81018;17060;;;
81019;12919;;;
81020;20979;;;
81021;23800;;;
81022;15289;;;
81023;13567;;;
81024;23798;;;
81025;;;;
81026;;;;
81027;;;;
81028;;;;
81029;;;;
81030;;;;
81031;;;;
81032;;;;
81033;;;;
81034;;;;
81035;;;;
81036;;;;
81037;;;;
81038;;;;
81039;;;;
81040;;;;
81041;;;;
81042;;;;
81043;;;;
27401;10359;;;
27402;-;;;
27403;20576;;;
27404;22538;;;
27405;20353;;;
27406;20354;;;
27407;15537;;;
27408;16703;;;
27409;12320;;;
27410;15609;;;
27411;15531;;;
27412;-;;;
27413;-;;;
27414;-;;;
27415;-;;;
27416;-;;;
27417;15615;;;
27418;;;;
27419;12900;;;
27420;16461;;;
27421;16332;;;
27422;-;;;
27423;-;;;
27424;20444;;;
27425;20834;;;
27426;-;;;
27427;-;;;
27428;20715;;;
27429;17127;;;
27430;20355;;;
27431;18228;;;
27432;-;;;
27433;-;;;
27434;14084;;;
27435;10425;;;
27436;20563;;;
27437;20304;;;
27438;-;;;
27439;21577;;;
27440;-;;;
27441;-;;;
27442;-;;;
27443;-;;;
27444;-;;;
27445;-;;;
27446;;;;
27447;;21303;;
27801;10557;;;
27802;10459;;;
27803;15524;;;
27804;10413;;;
27805;16884;;;
27806;15203;;;
27807;10434;;;
27808;10454;;;
27809;15522;;;
27810;-;;;
27811;-;;;
27812;15657;;;
27813;17041;;;
27814;-;;;
27815;10513;;;
27816;21894;;;
27817;15518;;;
27818;15514;;;
27819;10399;;;
27820;-;;;
27821;-;;;
27822;-;;;
27823;-;;;
27824;-;;;
27825;-;;;
27826;-;;;
27827;-;;;
27828;-;;;
27829;-;;;
27830;-;;;
27831;-;;;
27832;-;;;
27833;-;;;
27834;-;;;
27835;-;;;
27836;-;;;
27837;-;;;
27838;-;;;
27839;-;;;
27601;12049;;;
27602;18239;;;
27603;20316;;;
27604;15178;;;
27605;15248;;;
27606;22930;;;
27607;21106;;;
27608;12074;;;
27609;14176;;;
27610;12069;;;
27611;20357;;;
27612;16632;;;
27613;-;;;
27614;15245;;;
27615;14341;;;
27616;-;;;
27617;20142;;;
27618;20564;;;
27619;18384;;;
27620;-;;;
27621;-;;;
27622;12261;;;
27623;10158;;;
27624;-;;;
27625;-;;;
27626;-;;;
27627;15542;;;
27628;12207;;;
27629;21576;;;
27630;18925;;;
27631;10736;;;
27632;21903;;;
27633;-;;;
27634;-;;;
27635;18945;;;
27636;20295;;;
27637;20569;;;
27638;-;;;
27639;17132;;;
27640;23459;;;
27641;18899;;;
27642;-;;;
27643;-;;;
27644;-;;;
27645;17138;;;
27646;-;;;
27647;-;;;
27648;-;;;
27201;12310;;;
27202;23460;;;
27203;-;;;
27204;-;;;
27205;-;;;
27206;12311;;;
27207;-;;;
27208;17121;;;
27209;21545;;;
27210;18688-27418;;;
67001;16420;;;
67002;18964;;;
67003;23404;;;
67004;17404;;;
67005;22948;;;
67006;17403;;;
67007;-;;;
67008;17295;;;
67009;-;;;
67010;-;;;
67011;17297;;;
67012;22858;;;
67013;-;;;
67014;-;;;
67015;-;;;
67016;23408;;;
67017;-;;;
67018;-;;;
67019;-;;;
67020;17463;;;
67021;23455;;;
67022;-;;;
67023;-;;;
67024;22749;;;
67025;-;;;
67026;-;;;
67027;-;;;
67028;-;;;
67029;-;;;
67030;-;;;
67031;-;;;
67032;-;;;
67033;22857;;;
67034;22854;;;
21801;;;80503;
21802;;19443;;
21803;;;;211088
21804;;;80504;
21805;;;;
21806;;;;
21807;;19433;;
21808;;;;
21809;;19425;;
21810;;19426;;
21811;;19432;;
21812;;19814;;
21813;;19915;;
21814;;;;
13101;11684;;;
13102;20112;;;
13103;-;;;
13104;20105;;;
13105;-;;;
13106;20122;;;
13107;-;;;
13108;-;;;
13109;-;;;
13110;-;;;
13111;12586;;;
